ClaimNumber,PolicyNumber,PolicySource,EffectiveDate,ExpirationDate,CancellationDate,LossLocationID,HIPaymentStatus_Ext,Type,Driver,Vehicle
CLM000226,POL000226,Agent,2022-03-17,2027-08-04,2029-12-16,LOC0839,Not Paid,Nominated,Nominated,Not Active
CLM000227,POL000227,Online,2020-08-15,2027-10-14,2027-12-10,LOC0689,Pending,Not Nominated,Nominated,Not Active
CLM000228,POL000228,Agent,2021-03-13,2029-01-15,2028-09-17,LOC0669,Pending,Not Nominated,Nominated,Active
CLM000229,POL000229,Agent,2024-03-29,2027-02-11,,LOC0639,Pending,Not Nominated,Nominated,Active
CLM000230,POL000230,Agent,2020-07-15,2026-05-11,2026-04-30,LOC0452,Not Paid,Nominated,Not Nominated,Not Active
CLM000231,POL000231,Agent,2022-01-21,2027-03-23,2026-01-09,LOC0782,Pending,Not Nominated,Not Nominated,Not Active
CLM000232,POL000232,Agent,2023-07-19,2025-12-18,2029-10-02,LOC0396,Pending,Not Nominated,Nominated,Active
CLM000233,POL000233,Agent,2020-03-21,2025-06-12,2028-10-07,LOC0643,Not Paid,Nominated,Nominated,Not Active
CLM000234,POL000234,Online,2024-06-27,2026-07-12,2029-09-23,LOC0756,Not Paid,Nominated,Not Nominated,Active
CLM000235,POL000235,Agent,2020-02-18,2025-03-17,2028-01-07,LOC0437,Paid,Nominated,Not Nominated,Active
CLM000236,POL000236,Agent,2024-05-04,2029-07-09,2028-06-16,LOC0237,Pending,Nominated,Nominated,Not Active
CLM000237,POL000237,Agent,2023-02-25,2027-07-29,2027-09-23,LOC0477,Pending,Nominated,Nominated,Active
CLM000238,POL000238,Broker,2020-09-30,2029-09-29,,LOC0197,Pending,Not Nominated,Not Nominated,Not Active
CLM000239,POL000239,Online,2021-04-18,2028-12-10,,LOC0966,Not Paid,Not Nominated,Not Nominated,Active
CLM000240,POL000240,Broker,2023-10-04,2028-08-08,2027-05-24,LOC0044,Pending,Not Nominated,Not Nominated,Active
CLM000241,POL000241,Online,2024-10-22,2028-11-12,2029-08-19,LOC0029,Paid,Nominated,Nominated,Not Active
CLM000242,POL000242,Broker,2021-08-29,2025-05-11,2026-11-03,LOC0197,Pending,Nominated,Nominated,Active
CLM000243,POL000243,Broker,2020-09-30,2028-11-20,2028-05-11,LOC0673,Not Paid,Nominated,Not Nominated,Not Active
CLM000244,POL000244,Agent,2024-04-09,2029-09-11,2029-02-08,LOC0787,Paid,Nominated,Nominated,Not Active
CLM000245,POL000245,Broker,2024-12-04,2027-01-16,,LOC0610,Paid,Nominated,Not Nominated,Active
CLM000246,POL000246,Online,2023-05-14,2026-12-22,,LOC0167,Pending,Nominated,Nominated,Not Active
CLM000247,POL000247,Online,2023-11-06,2027-10-07,2027-10-14,LOC0418,Pending,Nominated,Not Nominated,Active
CLM000248,POL000248,Broker,2021-11-25,2028-03-25,2026-07-10,LOC0325,Not Paid,Not Nominated,Not Nominated,Not Active
CLM000249,POL000249,Broker,2021-12-05,2028-03-26,2027-12-14,LOC0450,Not Paid,Not Nominated,Not Nominated,Not Active
CLM000250,POL000250,Agent,2020-01-08,2025-10-04,2025-07-28,LOC0723,Paid,Not Nominated,Not Nominated,Not Active
CLM000251,POL000251,Broker,2021-03-29,2026-06-30,2029-02-14,LOC0622,Pending,Not Nominated,Not Nominated,Active
CLM000252,POL000252,Broker,2024-12-30,2027-01-04,2028-01-28,LOC0709,Not Paid,Not Nominated,Not Nominated,Not Active
CLM000253,POL000253,Agent,2020-10-18,2028-08-25,2029-06-20,LOC0099,Pending,Not Nominated,Not Nominated,Not Active
CLM000254,POL000254,Agent,2024-11-14,2028-10-14,,LOC0427,Not Paid,Nominated,Not Nominated,Not Active
CLM000255,POL000255,Agent,2021-02-16,2026-07-22,,LOC0158,Not Paid,Nominated,Nominated,Not Active
CLM000256,POL000256,Online,2023-03-25,2025-03-17,2025-07-24,LOC0537,Pending,Not Nominated,Not Nominated,Active
CLM000257,POL000257,Agent,2024-02-04,2029-05-11,2026-07-30,LOC0941,Not Paid,Not Nominated,Not Nominated,Not Active
CLM000258,POL000258,Online,2021-01-01,2026-10-20,2028-05-04,LOC0271,Not Paid,Not Nominated,Not Nominated,Active
CLM000259,POL000259,Broker,2023-08-03,2029-12-17,2025-10-16,LOC0662,Paid,Nominated,Not Nominated,Active
CLM000260,POL000260,Agent,2021-02-25,2029-01-01,2028-05-04,LOC0819,Not Paid,Not Nominated,Nominated,Active
CLM000261,POL000261,Broker,2020-01-09,2027-05-27,2025-07-17,LOC0220,Paid,Nominated,Not Nominated,Active
CLM000262,POL000262,Online,2022-03-29,2029-07-26,2029-05-16,LOC0408,Paid,Nominated,Nominated,Not Active
CLM000263,POL000263,Online,2024-10-08,2027-08-02,2026-02-25,LOC0248,Paid,Not Nominated,Not Nominated,Not Active
CLM000264,POL000264,Agent,2024-04-17,2025-12-05,,LOC0955,Paid,Not Nominated,Not Nominated,Active
CLM000265,POL000265,Online,2022-07-04,2026-01-23,2027-12-31,LOC0433,Pending,Nominated,Nominated,Active
CLM000266,POL000266,Agent,2023-06-06,2026-08-05,2029-12-02,LOC0188,Paid,Nominated,Not Nominated,Active
CLM000267,POL000267,Agent,2024-10-20,2028-08-09,2029-10-19,LOC0036,Pending,Nominated,Not Nominated,Active
CLM000268,POL000268,Online,2021-04-10,2029-07-26,2027-04-04,LOC0553,Paid,Nominated,Nominated,Not Active
CLM000269,POL000269,Online,2023-04-16,2025-06-25,2025-09-25,LOC0836,Not Paid,Nominated,Not Nominated,Active
CLM000270,POL000270,Online,2023-02-14,2025-11-25,2027-11-22,LOC0854,Paid,Not Nominated,Nominated,Not Active
CLM000271,POL000271,Online,2023-11-18,2029-12-19,2027-01-24,LOC0197,Paid,Nominated,Not Nominated,Active
CLM000272,POL000272,Broker,2024-05-17,2028-09-13,2027-06-26,LOC0652,Pending,Not Nominated,Nominated,Not Active
CLM000273,POL000273,Online,2021-05-25,2026-12-17,2025-08-25,LOC0991,Not Paid,Not Nominated,Not Nominated,Active
CLM000274,POL000274,Agent,2020-06-30,2025-10-20,2026-06-28,LOC0201,Not Paid,Nominated,Nominated,Not Active
CLM000275,POL000275,Agent,2021-04-05,2026-06-28,2025-07-11,LOC0128,Pending,Not Nominated,Not Nominated,Not Active
CLM000276,POL000276,Broker,2020-02-20,2025-03-29,,LOC0867,Not Paid,Nominated,Nominated,Active
CLM000277,POL000277,Online,2020-04-26,2025-07-24,2028-05-06,LOC0399,Paid,Nominated,Nominated,Not Active
CLM000278,POL000278,Agent,2022-06-23,2029-01-25,,LOC0280,Paid,Nominated,Not Nominated,Not Active
CLM000279,POL000279,Broker,2022-11-08,2029-10-26,2028-07-17,LOC0056,Not Paid,Not Nominated,Not Nominated,Not Active
CLM000280,POL000280,Agent,2024-12-08,2028-11-06,2028-07-17,LOC0724,Not Paid,Nominated,Nominated,Active
CLM000281,POL000281,Broker,2020-02-15,2027-04-05,,LOC0620,Paid,Nominated,Not Nominated,Active
CLM000282,POL000282,Agent,2023-11-14,2026-12-02,2027-01-15,LOC0859,Pending,Nominated,Not Nominated,Active
CLM000283,POL000283,Online,2021-05-17,2028-06-10,2025-06-16,LOC0788,Paid,Nominated,Nominated,Active
CLM000284,POL000284,Online,2024-09-26,2028-04-10,2028-06-02,LOC0358,Pending,Nominated,Nominated,Not Active
CLM000285,POL000285,Broker,2021-02-08,2026-04-25,2027-08-18,LOC0689,Paid,Not Nominated,Nominated,Not Active
CLM000286,POL000286,Agent,2024-07-18,2026-07-28,2029-09-28,LOC0070,Paid,Not Nominated,Not Nominated,Not Active
CLM000287,POL000287,Online,2021-06-17,2027-10-23,2027-09-06,LOC0165,Not Paid,Not Nominated,Nominated,Not Active
CLM000288,POL000288,Online,2020-08-22,2026-10-24,2029-04-19,LOC0714,Pending,Nominated,Not Nominated,Active
CLM000289,POL000289,Agent,2023-10-11,2029-10-06,2026-11-14,LOC0272,Not Paid,Nominated,Not Nominated,Active
CLM000290,POL000290,Online,2024-01-09,2025-10-15,2029-02-22,LOC0587,Pending,Nominated,Nominated,Not Active
CLM000291,POL000291,Broker,2021-12-18,2027-01-05,2026-01-19,LOC0812,Pending,Nominated,Not Nominated,Active
CLM000292,POL000292,Online,2023-10-14,2027-02-18,2027-03-21,LOC0531,Pending,Not Nominated,Nominated,Active
CLM000293,POL000293,Agent,2021-07-25,2025-03-05,2025-12-26,LOC0181,Paid,Not Nominated,Nominated,Not Active
CLM000294,POL000294,Online,2023-04-15,2027-05-04,2025-06-10,LOC0324,Not Paid,Not Nominated,Not Nominated,Not Active
CLM000295,POL000295,Online,2023-08-15,2028-07-25,2025-01-27,LOC0345,Pending,Not Nominated,Not Nominated,Active
CLM000296,POL000296,Broker,2024-05-24,2025-03-11,,LOC0881,Pending,Nominated,Not Nominated,Not Active
CLM000297,POL000297,Online,2020-06-17,2025-04-09,2027-08-10,LOC0804,Not Paid,Nominated,Nominated,Not Active
CLM000298,POL000298,Broker,2020-11-04,2026-11-24,2028-09-15,LOC0713,Paid,Not Nominated,Nominated,Active
CLM000299,POL000299,Online,2022-08-03,2029-05-25,2028-10-09,LOC0726,Pending,Nominated,Not Nominated,Active
CLM000300,POL000300,Online,2021-03-03,2026-07-29,2029-08-13,LOC0285,Pending,Not Nominated,Nominated,Active
CLM000301,POL000301,Online,2022-12-19,2027-09-17,2029-04-06,LOC0939,Paid,Nominated,Nominated,Not Active
CLM000302,POL000302,Online,2022-02-08,2025-03-16,2027-03-09,LOC0452,Paid,Nominated,Nominated,Not Active
CLM000303,POL000303,Online,2024-08-30,2029-03-23,2026-02-26,LOC0757,Pending,Not Nominated,Nominated,Not Active
CLM000304,POL000304,Agent,2024-12-18,2028-06-02,2025-04-03,LOC0910,Pending,Nominated,Not Nominated,Not Active
CLM000305,POL000305,Agent,2024-12-10,2028-12-11,2028-09-06,LOC0366,Not Paid,Nominated,Nominated,Active
CLM000306,POL000306,Broker,2023-11-01,2025-11-29,2027-09-28,LOC0458,Not Paid,Nominated,Not Nominated,Active
CLM000307,POL000307,Agent,2023-06-19,2027-02-21,2028-02-24,LOC0404,Pending,Not Nominated,Nominated,Active
CLM000308,POL000308,Online,2024-06-04,2029-02-28,2027-01-04,LOC0034,Pending,Not Nominated,Not Nominated,Not Active
CLM000309,POL000309,Agent,2020-01-13,2028-02-17,2026-07-17,LOC0675,Pending,Not Nominated,Not Nominated,Active
CLM000310,POL000310,Agent,2021-02-09,2026-10-12,2025-12-31,LOC0326,Not Paid,Nominated,Nominated,Not Active
CLM000311,POL000311,Agent,2023-04-06,2029-03-28,2027-08-13,LOC0601,Not Paid,Nominated,Not Nominated,Not Active
CLM000312,POL000312,Agent,2023-01-18,2026-04-25,2027-01-30,LOC0413,Pending,Not Nominated,Nominated,Active
CLM000313,POL000313,Agent,2024-11-25,2026-12-10,2028-02-21,LOC0769,Not Paid,Not Nominated,Not Nominated,Active
CLM000314,POL000314,Online,2023-11-16,2029-05-31,2026-09-09,LOC0995,Pending,Not Nominated,Nominated,Not Active
CLM000315,POL000315,Agent,2022-09-18,2029-09-30,2027-02-13,LOC0117,Not Paid,Nominated,Nominated,Not Active
CLM000316,POL000316,Online,2023-11-02,2027-08-12,2029-09-08,LOC0359,Paid,Nominated,Not Nominated,Not Active
CLM000317,POL000317,Online,2024-02-16,2027-10-23,2027-06-09,LOC0124,Pending,Not Nominated,Nominated,Not Active
CLM000318,POL000318,Broker,2023-07-25,2026-11-10,2029-03-27,LOC0493,Not Paid,Not Nominated,Not Nominated,Not Active
CLM000319,POL000319,Broker,2021-07-13,2029-11-26,2029-08-15,LOC0426,Pending,Nominated,Nominated,Active
CLM000320,POL000320,Online,2023-11-06,2026-01-20,,LOC0455,Not Paid,Not Nominated,Not Nominated,Not Active
CLM000321,POL000321,Broker,2022-12-21,2029-04-20,2027-01-01,LOC0817,Not Paid,Not Nominated,Not Nominated,Active
CLM000322,POL000322,Online,2020-01-19,2026-09-26,2028-08-05,LOC0853,Not Paid,Nominated,Nominated,Not Active
CLM000323,POL000323,Online,2022-09-21,2025-08-31,2028-05-19,LOC0463,Paid,Not Nominated,Nominated,Active
CLM000324,POL000324,Broker,2023-08-14,2029-08-07,2025-04-04,LOC0455,Pending,Nominated,Nominated,Active
CLM000325,POL000325,Broker,2023-04-27,2029-01-05,,LOC0745,Pending,Nominated,Nominated,Active
CLM000326,POL000326,Online,2021-11-17,2025-06-02,2027-04-25,LOC0144,Pending,Not Nominated,Not Nominated,Not Active
CLM000327,POL000327,Online,2021-04-08,2025-06-23,,LOC0339,Pending,Not Nominated,Not Nominated,Not Active
CLM000328,POL000328,Broker,2021-09-20,2027-04-03,2025-09-01,LOC0903,Pending,Not Nominated,Nominated,Active
CLM000329,POL000329,Broker,2020-03-18,2026-09-25,,LOC0023,Paid,Nominated,Nominated,Not Active
CLM000330,POL000330,Agent,2020-05-20,2025-07-11,2029-08-09,LOC0448,Not Paid,Nominated,Nominated,Active
CLM000331,POL000331,Broker,2024-09-20,2029-10-19,2026-03-24,LOC0836,Pending,Nominated,Not Nominated,Active
CLM000332,POL000332,Online,2021-04-10,2025-10-29,,LOC0241,Pending,Not Nominated,Nominated,Active
CLM000333,POL000333,Agent,2023-01-02,2025-04-01,2028-03-10,LOC0262,Paid,Not Nominated,Not Nominated,Active
CLM000334,POL000334,Agent,2022-02-18,2029-05-09,2027-02-05,LOC0221,Paid,Nominated,Nominated,Not Active
CLM000335,POL000335,Broker,2023-12-24,2027-04-24,2025-06-25,LOC0171,Not Paid,Not Nominated,Not Nominated,Active
CLM000336,POL000336,Broker,2022-07-15,2027-03-17,2025-06-18,LOC0198,Pending,Not Nominated,Nominated,Not Active
CLM000337,POL000337,Online,2022-10-17,2029-01-03,2026-10-11,LOC0189,Not Paid,Not Nominated,Nominated,Not Active
CLM000338,POL000338,Broker,2022-11-23,2027-09-14,2025-01-15,LOC0553,Not Paid,Nominated,Not Nominated,Active
CLM000339,POL000339,Agent,2023-06-30,2025-07-08,,LOC0971,Not Paid,Nominated,Not Nominated,Active
CLM000340,POL000340,Agent,2022-03-10,2029-08-26,2029-05-11,LOC0093,Paid,Nominated,Not Nominated,Not Active
CLM000341,POL000341,Broker,2024-08-29,2026-07-26,2027-09-30,LOC0645,Paid,Not Nominated,Not Nominated,Active
CLM000342,POL000342,Broker,2023-09-21,2025-04-16,,LOC0574,Paid,Not Nominated,Not Nominated,Not Active
CLM000343,POL000343,Online,2020-04-20,2026-08-22,2026-07-25,LOC0335,Pending,Nominated,Nominated,Active
CLM000344,POL000344,Broker,2024-04-18,2026-08-17,2028-04-15,LOC0227,Paid,Not Nominated,Not Nominated,Not Active
CLM000345,POL000345,Broker,2021-01-07,2026-07-07,2028-04-11,LOC0315,Pending,Not Nominated,Nominated,Active
CLM000346,POL000346,Online,2020-06-02,2029-02-20,,LOC0124,Not Paid,Not Nominated,Not Nominated,Active
CLM000347,POL000347,Online,2021-04-09,2028-03-21,2028-10-01,LOC0011,Paid,Not Nominated,Nominated,Not Active
CLM000348,POL000348,Online,2022-06-25,2029-10-12,2027-09-14,LOC0298,Pending,Nominated,Nominated,Not Active
CLM000349,POL000349,Broker,2022-10-07,2028-11-11,2027-12-18,LOC0609,Paid,Not Nominated,Not Nominated,Not Active
CLM000350,POL000350,Agent,2022-03-14,2029-03-14,2025-12-01,LOC0082,Pending,Nominated,Nominated,Not Active
CLM000351,POL000351,Online,2020-03-23,2026-11-16,2029-02-14,LOC0829,Pending,Nominated,Nominated,Not Active
CLM000352,POL000352,Online,2024-12-05,2025-05-27,2029-02-05,LOC0627,Not Paid,Not Nominated,Nominated,Active
CLM000353,POL000353,Broker,2020-09-24,2029-08-30,2026-02-03,LOC0741,Paid,Nominated,Not Nominated,Not Active
CLM000354,POL000354,Agent,2022-06-27,2028-10-17,2025-10-18,LOC0146,Pending,Nominated,Not Nominated,Active
CLM000355,POL000355,Broker,2024-12-22,2029-09-10,2029-03-19,LOC0603,Not Paid,Not Nominated,Nominated,Active
CLM000356,POL000356,Broker,2022-12-05,2028-12-08,2025-10-31,LOC0766,Not Paid,Nominated,Nominated,Not Active
CLM000357,POL000357,Broker,2021-11-17,2026-09-10,2025-07-23,LOC0190,Paid,Not Nominated,Not Nominated,Active
CLM000358,POL000358,Online,2020-12-22,2025-09-26,2028-08-23,LOC0174,Paid,Not Nominated,Nominated,Not Active
CLM000359,POL000359,Agent,2021-06-25,2028-06-28,2029-05-07,LOC0555,Not Paid,Not Nominated,Not Nominated,Active
CLM000360,POL000360,Online,2020-08-08,2026-11-05,2027-08-01,LOC0769,Pending,Not Nominated,Nominated,Active
CLM000361,POL000361,Broker,2023-05-18,2025-05-23,2028-03-14,LOC0159,Paid,Not Nominated,Not Nominated,Active
CLM000362,POL000362,Broker,2020-03-06,2026-08-23,2025-03-02,LOC0184,Paid,Not Nominated,Not Nominated,Not Active
CLM000363,POL000363,Broker,2020-09-19,2028-03-17,2027-02-27,LOC0687,Paid,Not Nominated,Nominated,Not Active
CLM000364,POL000364,Agent,2023-11-03,2025-01-26,2028-01-31,LOC0859,Pending,Not Nominated,Not Nominated,Not Active
CLM000365,POL000365,Online,2021-07-11,2026-03-29,2027-05-12,LOC0274,Pending,Not Nominated,Nominated,Not Active
CLM000366,POL000366,Online,2024-11-05,2028-02-18,,LOC0024,Pending,Nominated,Not Nominated,Active
CLM000367,POL000367,Agent,2024-10-11,2028-07-21,,LOC0082,Paid,Nominated,Not Nominated,Not Active
CLM000368,POL000368,Online,2024-08-20,2027-09-22,2025-10-23,LOC0924,Paid,Nominated,Nominated,Active
CLM000369,POL000369,Online,2020-08-10,2028-04-21,,LOC0983,Paid,Not Nominated,Not Nominated,Not Active
CLM000370,POL000370,Broker,2024-11-20,2027-12-17,2027-12-24,LOC0117,Paid,Not Nominated,Not Nominated,Active
CLM000371,POL000371,Agent,2022-10-25,2029-02-21,2027-11-15,LOC0981,Paid,Not Nominated,Not Nominated,Not Active
CLM000372,POL000372,Online,2021-04-03,2028-08-24,2029-12-29,LOC0207,Not Paid,Not Nominated,Not Nominated,Active
CLM000373,POL000373,Online,2020-05-01,2026-10-30,2029-09-14,LOC0100,Pending,Not Nominated,Nominated,Active
CLM000374,POL000374,Broker,2021-08-22,2025-08-04,2028-11-13,LOC0608,Not Paid,Not Nominated,Nominated,Not Active
CLM000375,POL000375,Online,2023-02-22,2028-09-05,2025-04-29,LOC0674,Not Paid,Nominated,Nominated,Not Active
CLM000376,POL000376,Agent,2024-11-07,2026-05-13,2025-01-07,LOC0979,Paid,Not Nominated,Not Nominated,Not Active
CLM000377,POL000377,Broker,2023-08-12,2026-12-28,,LOC0025,Paid,Not Nominated,Nominated,Not Active
CLM000378,POL000378,Broker,2024-06-17,2028-08-03,2026-12-17,LOC0520,Pending,Nominated,Nominated,Not Active
CLM000379,POL000379,Broker,2023-08-17,2025-05-29,2026-09-11,LOC0751,Paid,Nominated,Nominated,Not Active
CLM000380,POL000380,Broker,2020-08-25,2025-10-29,2028-02-03,LOC0461,Not Paid,Not Nominated,Nominated,Active
CLM000381,POL000381,Agent,2024-09-28,2025-12-12,,LOC0693,Pending,Not Nominated,Not Nominated,Not Active
CLM000382,POL000382,Broker,2024-02-29,2026-08-06,2025-04-06,LOC0712,Not Paid,Not Nominated,Not Nominated,Active
CLM000383,POL000383,Broker,2022-08-24,2029-09-23,,LOC0074,Paid,Nominated,Nominated,Active
CLM000384,POL000384,Broker,2023-12-30,2027-12-23,2027-08-18,LOC0152,Paid,Not Nominated,Not Nominated,Active
CLM000385,POL000385,Online,2023-10-16,2027-12-01,2027-12-15,LOC0914,Paid,Nominated,Not Nominated,Active
CLM000386,POL000386,Online,2023-08-07,2029-01-17,,LOC0996,Pending,Nominated,Nominated,Not Active
CLM000387,POL000387,Broker,2022-05-26,2028-05-01,2026-12-25,LOC0879,Not Paid,Not Nominated,Not Nominated,Active
CLM000388,POL000388,Broker,2021-05-17,2027-11-17,2026-08-15,LOC0583,Pending,Not Nominated,Nominated,Active
CLM000389,POL000389,Online,2020-02-18,2026-04-09,2025-11-13,LOC0955,Not Paid,Not Nominated,Not Nominated,Not Active
CLM000390,POL000390,Broker,2023-05-27,2027-01-09,,LOC0345,Paid,Not Nominated,Not Nominated,Active
CLM000391,POL000391,Online,2023-09-05,2025-01-12,2028-10-01,LOC0407,Not Paid,Not Nominated,Not Nominated,Not Active
CLM000392,POL000392,Agent,2024-12-20,2028-09-10,2029-01-07,LOC0863,Pending,Not Nominated,Nominated,Not Active
CLM000393,POL000393,Online,2021-07-25,2025-03-21,2026-03-22,LOC0871,Not Paid,Not Nominated,Not Nominated,Not Active
CLM000394,POL000394,Online,2023-09-03,2027-04-27,2026-06-07,LOC0364,Pending,Nominated,Nominated,Active
CLM000395,POL000395,Broker,2020-09-18,2026-03-29,2027-03-10,LOC0954,Pending,Not Nominated,Nominated,Active
CLM000396,POL000396,Agent,2022-04-05,2029-11-03,2026-12-24,LOC0116,Not Paid,Not Nominated,Nominated,Active
CLM000397,POL000397,Broker,2024-05-06,2028-01-05,2026-06-19,LOC0937,Not Paid,Nominated,Nominated,Not Active
CLM000398,POL000398,Online,2024-01-03,2026-02-14,,LOC0196,Paid,Not Nominated,Nominated,Not Active
CLM000399,POL000399,Agent,2023-12-27,2027-08-30,,LOC0709,Paid,Not Nominated,Not Nominated,Active
CLM000400,POL000400,Online,2022-11-04,2028-02-29,,LOC0688,Not Paid,Not Nominated,Not Nominated,Not Active
CLM000401,POL000401,Online,2021-09-06,2026-03-28,,LOC0900,Pending,Not Nominated,Not Nominated,Not Active
CLM000402,POL000402,Broker,2021-04-15,2028-03-28,2026-08-04,LOC0791,Not Paid,Nominated,Nominated,Not Active
CLM000403,POL000403,Online,2023-07-01,2029-10-07,2027-05-03,LOC0591,Not Paid,Nominated,Not Nominated,Not Active
CLM000404,POL000404,Broker,2021-09-26,2025-10-02,2028-09-11,LOC0674,Not Paid,Not Nominated,Not Nominated,Active
CLM000405,POL000405,Online,2021-07-06,2026-12-10,,LOC0505,Paid,Nominated,Nominated,Not Active
CLM000406,POL000406,Broker,2022-12-10,2028-11-21,2027-04-04,LOC0030,Pending,Nominated,Nominated,Active
CLM000407,POL000407,Online,2020-05-03,2028-06-28,2028-01-05,LOC0795,Paid,Not Nominated,Nominated,Active
CLM000408,POL000408,Agent,2022-03-01,2026-04-28,,LOC0380,Paid,Nominated,Nominated,Active
CLM000409,POL000409,Broker,2024-06-14,2026-05-06,2028-11-11,LOC0240,Paid,Not Nominated,Nominated,Not Active
CLM000410,POL000410,Broker,2021-02-03,2026-03-23,2028-07-02,LOC0794,Paid,Not Nominated,Not Nominated,Active
CLM000411,POL000411,Agent,2022-10-17,2026-04-14,2027-04-05,LOC0344,Not Paid,Nominated,Nominated,Not Active
CLM000412,POL000412,Agent,2023-03-17,2026-01-25,2029-02-13,LOC0958,Paid,Not Nominated,Nominated,Active
CLM000413,POL000413,Agent,2021-06-11,2025-03-24,2027-12-03,LOC0913,Not Paid,Nominated,Not Nominated,Active
CLM000414,POL000414,Broker,2023-01-25,2026-12-23,2025-05-16,LOC0032,Pending,Not Nominated,Not Nominated,Active
CLM000415,POL000415,Online,2022-07-28,2029-05-05,2027-11-28,LOC0016,Paid,Not Nominated,Not Nominated,Not Active
CLM000416,POL000416,Agent,2023-08-01,2028-04-23,2028-06-05,LOC0921,Paid,Not Nominated,Nominated,Active
CLM000417,POL000417,Agent,2022-10-26,2025-11-01,2028-09-18,LOC0671,Not Paid,Not Nominated,Not Nominated,Not Active
CLM000418,POL000418,Broker,2023-09-13,2025-01-10,,LOC0584,Not Paid,Not Nominated,Nominated,Not Active
CLM000419,POL000419,Online,2021-07-30,2028-07-13,2026-02-25,LOC0637,Paid,Not Nominated,Nominated,Not Active
CLM000420,POL000420,Agent,2022-07-17,2026-05-21,2025-11-12,LOC0639,Pending,Nominated,Nominated,Active
CLM000421,POL000421,Broker,2022-10-05,2029-05-11,,LOC0675,Pending,Nominated,Not Nominated,Not Active
CLM000422,POL000422,Agent,2022-05-05,2026-10-11,,LOC0492,Paid,Not Nominated,Nominated,Not Active
CLM000423,POL000423,Broker,2021-08-12,2028-10-08,,LOC0923,Pending,Not Nominated,Nominated,Active
CLM000424,POL000424,Online,2020-08-07,2027-07-17,,LOC0477,Not Paid,Not Nominated,Not Nominated,Not Active
CLM000425,POL000425,Online,2024-12-28,2027-09-13,2026-01-12,LOC0165,Paid,Not Nominated,Nominated,Active
CLM000426,POL000426,Online,2022-11-05,2029-07-11,2029-01-22,LOC0505,Paid,Not Nominated,Nominated,Active
CLM000427,POL000427,Broker,2023-11-27,2028-11-10,2027-11-21,LOC0864,Pending,Nominated,Not Nominated,Not Active
CLM000428,POL000428,Agent,2024-05-21,2028-10-01,2029-02-24,LOC0262,Not Paid,Not Nominated,Not Nominated,Not Active
CLM000429,POL000429,Agent,2020-03-28,2028-09-06,,LOC0270,Not Paid,Nominated,Not Nominated,Active
CLM000430,POL000430,Broker,2020-11-30,2026-07-15,2025-02-23,LOC0802,Paid,Nominated,Not Nominated,Not Active
CLM000431,POL000431,Broker,2024-05-27,2028-12-04,2027-10-22,LOC0856,Paid,Not Nominated,Not Nominated,Active
CLM000432,POL000432,Agent,2024-06-26,2026-09-12,2029-12-03,LOC0974,Not Paid,Nominated,Not Nominated,Not Active
CLM000433,POL000433,Agent,2023-06-09,2025-05-29,2025-05-04,LOC0153,Not Paid,Not Nominated,Not Nominated,Active
CLM000434,POL000434,Broker,2023-12-16,2026-12-23,,LOC0078,Pending,Nominated,Nominated,Active
CLM000435,POL000435,Agent,2022-03-27,2028-05-12,2028-01-05,LOC0160,Paid,Nominated,Nominated,Active
CLM000436,POL000436,Broker,2022-11-17,2025-02-16,2026-01-30,LOC0752,Paid,Nominated,Not Nominated,Not Active
CLM000437,POL000437,Agent,2023-10-08,2026-04-07,2028-01-07,LOC0758,Pending,Nominated,Nominated,Not Active
CLM000438,POL000438,Agent,2021-07-01,2027-08-28,2028-04-10,LOC0413,Paid,Not Nominated,Not Nominated,Not Active
CLM000439,POL000439,Online,2024-03-26,2025-04-08,2027-02-23,LOC0430,Paid,Not Nominated,Nominated,Active
CLM000440,POL000440,Online,2024-06-04,2028-12-14,2025-01-01,LOC0992,Paid,Nominated,Not Nominated,Active
CLM000441,POL000441,Broker,2022-05-20,2027-04-19,2027-03-11,LOC0984,Paid,Not Nominated,Not Nominated,Active
CLM000442,POL000442,Broker,2024-10-28,2025-10-11,2025-12-09,LOC0719,Not Paid,Not Nominated,Not Nominated,Active
CLM000443,POL000443,Online,2024-03-28,2029-09-18,2028-12-25,LOC0714,Pending,Not Nominated,Nominated,Active
CLM000444,POL000444,Agent,2020-05-04,2028-05-07,2026-11-27,LOC0860,Paid,Not Nominated,Nominated,Active
CLM000445,POL000445,Broker,2022-11-04,2027-02-16,2028-06-02,LOC0883,Pending,Nominated,Nominated,Active
CLM000446,POL000446,Online,2024-05-18,2026-09-28,2028-09-10,LOC0765,Not Paid,Nominated,Not Nominated,Active
CLM000447,POL000447,Agent,2024-10-02,2026-08-25,2025-10-14,LOC0823,Not Paid,Nominated,Nominated,Active
CLM000448,POL000448,Online,2021-09-08,2029-06-07,2025-09-15,LOC0153,Pending,Not Nominated,Not Nominated,Active
CLM000449,POL000449,Agent,2020-06-15,2028-05-12,2026-06-06,LOC0855,Paid,Nominated,Not Nominated,Not Active
CLM000450,POL000450,Broker,2023-11-09,2029-05-21,,LOC0755,Not Paid,Not Nominated,Nominated,Not Active
CLM000451,POL000451,Online,2021-03-16,2028-11-05,2025-08-29,LOC0760,Pending,Nominated,Nominated,Active
CLM000452,POL000452,Online,2022-12-04,2029-01-17,2028-09-18,LOC0614,Not Paid,Nominated,Not Nominated,Active
