ClaimNumber,HowReported,MainContactType,ReportedDate,PolicyLocations,LossDate,LossCause,LossLocationID,Notes,State,Assessment,LossCause_asper_PDS
CLM000190,In-Person,Agent,2022-02-26,LOC0413,2023-12-31,Theft,LOC0418,Down lay when move. Daughter light collection cup sea. Its church it.,Open,NO,NO
CLM000191,Online,Agent,2024-06-02,LOC0498,2023-08-05,Collision,LOC0629,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Pending,NO,YES
CLM000192,Phone,Policyholder,2023-01-15,LOC0938,2022-11-25,Theft,LOC0957,Down lay when move. Daughter light collection cup sea. Its church it.,Pending,YES,NO
CLM000193,Phone,Broker,2023-10-21,LOC0388,2023-02-03,Natural Disaster,LOC0133,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Pending,NO,NO
CLM000194,In-Person,Policyholder,2024-03-08,LOC0622,2022-06-01,Fire,LOC0201,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Pending,NO,NO
CLM000195,In-Person,Broker,2022-10-08,LOC0299,2023-08-25,Collision,LOC0209,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Pending,YES,NO
CLM000196,Phone,Policyholder,2023-06-03,LOC0304,2021-08-03,Natural Disaster,LOC0761,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Closed,NO,NO
CLM000197,In-Person,Policyholder,2024-10-23,LOC0768,2021-07-10,Fire,LOC0714,Down lay when move. Daughter light collection cup sea. Its church it.,Closed,YES,NO
CLM000198,Email,Agent,2022-03-02,LOC0582,2022-09-24,Natural Disaster,LOC0780,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Open,YES,YES
CLM000199,Phone,Broker,2024-10-12,LOC0209,2021-06-30,Fire,LOC0889,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Closed,NO,NO
CLM000200,Email,Policyholder,2023-06-05,LOC0298,2022-06-03,Collision,LOC0107,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Pending,YES,YES
CLM000201,Phone,Broker,2024-10-06,LOC0920,2021-09-27,Natural Disaster,LOC0613,Down lay when move. Daughter light collection cup sea. Its church it.,Pending,NO,YES
CLM000202,In-Person,Policyholder,2023-05-18,LOC0025,2021-03-31,Fire,LOC0049,Down lay when move. Daughter light collection cup sea. Its church it.,Open,YES,NO
CLM000203,Online,Policyholder,2024-06-14,LOC0181,2023-01-16,Natural Disaster,LOC0508,Down lay when move. Daughter light collection cup sea. Its church it.,Open,YES,YES
CLM000204,Email,Agent,2022-05-14,LOC0658,2022-07-06,Collision,LOC0076,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Pending,YES,YES
CLM000205,Phone,Broker,2022-01-27,LOC0849,2021-08-28,Natural Disaster,LOC0965,Down lay when move. Daughter light collection cup sea. Its church it.,Pending,YES,NO
CLM000206,In-Person,Agent,2024-06-12,LOC0521,2022-02-26,Natural Disaster,LOC0507,Down lay when move. Daughter light collection cup sea. Its church it.,Open,NO,YES
CLM000207,Online,Policyholder,2022-09-03,LOC0776,2022-08-20,Natural Disaster,LOC0295,Down lay when move. Daughter light collection cup sea. Its church it.,Pending,YES,NO
CLM000208,Online,Agent,2022-02-01,LOC0925,2023-03-19,Fire,LOC0477,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Open,NO,NO
CLM000209,Email,Broker,2024-01-18,LOC0675,2021-08-03,Fire,LOC0866,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Open,YES,NO
CLM000210,In-Person,Agent,2023-02-02,LOC0987,2021-03-16,Collision,LOC0843,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Open,NO,NO
CLM000211,Phone,Broker,2022-02-05,LOC0287,2021-08-14,Collision,LOC0517,Down lay when move. Daughter light collection cup sea. Its church it.,Pending,YES,NO
CLM000212,Phone,Agent,2024-03-09,LOC0375,2024-07-05,Natural Disaster,LOC0493,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Closed,NO,YES
CLM000213,Email,Agent,2024-06-13,LOC0850,2021-11-09,Natural Disaster,LOC0335,Down lay when move. Daughter light collection cup sea. Its church it.,Open,NO,YES
CLM000214,Online,Broker,2024-07-18,LOC0082,2022-10-29,Fire,LOC0634,Down lay when move. Daughter light collection cup sea. Its church it.,Closed,YES,NO
CLM000215,Online,Agent,2024-03-04,LOC0932,2021-06-02,Fire,LOC0413,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Open,NO,NO
CLM000216,Email,Agent,2022-03-24,LOC0735,2022-09-09,Fire,LOC0880,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Closed,NO,NO
CLM000217,Phone,Broker,2022-05-27,LOC0335,2023-11-21,Collision,LOC0676,Down lay when move. Daughter light collection cup sea. Its church it.,Closed,YES,YES
CLM000218,Online,Agent,2023-06-05,LOC0165,2023-02-25,Theft,LOC0750,Down lay when move. Daughter light collection cup sea. Its church it.,Open,NO,NO
CLM000219,Online,Policyholder,2022-09-16,LOC0579,2022-06-19,Theft,LOC0595,Down lay when move. Daughter light collection cup sea. Its church it.,Pending,NO,NO
CLM000220,In-Person,Broker,2022-11-22,LOC0039,2024-03-18,Theft,LOC0798,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Pending,NO,NO
CLM000221,Online,Broker,2023-07-25,LOC0912,2022-08-30,Natural Disaster,LOC0948,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Pending,YES,NO
CLM000222,Online,Broker,2022-05-08,LOC0092,2023-07-21,Fire,LOC0780,Down lay when move. Daughter light collection cup sea. Its church it.,Pending,NO,YES
CLM000223,Phone,Policyholder,2023-11-12,LOC0338,2024-11-16,Collision,LOC0746,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Closed,YES,NO
CLM000224,In-Person,Policyholder,2022-06-12,LOC0404,2024-01-03,Theft,LOC0269,Down lay when move. Daughter light collection cup sea. Its church it.,Closed,NO,NO
CLM000225,In-Person,Agent,2022-06-19,LOC0960,2021-03-29,Natural Disaster,LOC0467,Down lay when move. Daughter light collection cup sea. Its church it.,Closed,YES,YES
CLM000226,Phone,Broker,2022-03-09,LOC0960,2024-10-16,Fire,LOC0839,Down lay when move. Daughter light collection cup sea. Its church it.,Closed,YES,NO
CLM000227,In-Person,Policyholder,2022-07-14,LOC0903,2023-04-12,Natural Disaster,LOC0689,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Open,NO,NO
CLM000228,Online,Broker,2023-08-04,LOC0064,2021-06-02,Fire,LOC0669,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Pending,YES,YES
CLM000229,Online,Agent,2022-12-02,LOC0049,2022-05-04,Natural Disaster,LOC0639,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Open,NO,YES
CLM000230,Phone,Broker,2022-06-04,LOC0912,2021-11-07,Fire,LOC0452,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Open,NO,YES
CLM000231,Phone,Broker,2023-06-28,LOC0963,2024-10-09,Natural Disaster,LOC0782,Down lay when move. Daughter light collection cup sea. Its church it.,Closed,YES,YES
CLM000232,In-Person,Agent,2023-11-29,LOC0112,2022-12-26,Theft,LOC0396,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Open,YES,NO
CLM000233,In-Person,Broker,2024-12-23,LOC0695,2022-08-11,Collision,LOC0643,Down lay when move. Daughter light collection cup sea. Its church it.,Open,NO,NO
CLM000234,Email,Agent,2023-06-22,LOC0878,2023-04-28,Natural Disaster,LOC0756,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Pending,NO,YES
CLM000235,Online,Broker,2022-08-23,LOC0859,2021-06-23,Natural Disaster,LOC0437,Down lay when move. Daughter light collection cup sea. Its church it.,Pending,YES,YES
CLM000236,Online,Policyholder,2024-04-06,LOC0562,2024-08-08,Natural Disaster,LOC0237,Down lay when move. Daughter light collection cup sea. Its church it.,Closed,NO,YES
CLM000237,In-Person,Agent,2022-08-01,LOC0161,2024-07-09,Theft,LOC0477,Down lay when move. Daughter light collection cup sea. Its church it.,Closed,YES,NO
CLM000238,Phone,Broker,2023-05-21,LOC0477,2024-02-21,Fire,LOC0197,Down lay when move. Daughter light collection cup sea. Its church it.,Open,NO,YES
CLM000239,Phone,Policyholder,2023-02-25,LOC0551,2023-10-21,Natural Disaster,LOC0966,Down lay when move. Daughter light collection cup sea. Its church it.,Closed,NO,NO
CLM000240,In-Person,Agent,2023-07-14,LOC0628,2023-04-21,Fire,LOC0044,Down lay when move. Daughter light collection cup sea. Its church it.,Open,NO,YES
CLM000241,Online,Broker,2024-08-12,LOC0509,2022-11-22,Natural Disaster,LOC0029,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Closed,NO,YES
CLM000242,Email,Agent,2024-09-08,LOC0694,2024-10-25,Fire,LOC0197,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Pending,YES,YES
CLM000243,In-Person,Broker,2022-10-03,LOC0690,2022-11-07,Fire,LOC0673,Down lay when move. Daughter light collection cup sea. Its church it.,Open,NO,YES
CLM000244,Online,Broker,2024-03-30,LOC0873,2023-10-04,Collision,LOC0787,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Open,YES,YES
CLM000245,Online,Agent,2023-12-22,LOC0057,2021-09-19,Collision,LOC0610,Down lay when move. Daughter light collection cup sea. Its church it.,Pending,NO,NO
CLM000246,In-Person,Broker,2023-01-18,LOC0486,2023-05-09,Fire,LOC0167,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Closed,YES,NO
CLM000247,Email,Agent,2022-03-02,LOC0130,2021-03-07,Fire,LOC0418,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Closed,NO,NO
CLM000248,Email,Agent,2023-04-11,LOC0446,2024-07-25,Collision,LOC0325,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Closed,YES,NO
CLM000249,Online,Broker,2022-01-01,LOC0310,2021-03-26,Collision,LOC0450,Down lay when move. Daughter light collection cup sea. Its church it.,Open,NO,NO
CLM000250,Email,Agent,2022-04-06,LOC0966,2023-11-05,Natural Disaster,LOC0723,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Open,YES,NO
CLM000251,Email,Policyholder,2023-12-30,LOC0621,2021-01-08,Fire,LOC0622,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Pending,NO,YES
CLM000252,Online,Agent,2022-09-27,LOC0065,2023-11-18,Fire,LOC0709,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Closed,YES,NO
CLM000253,Online,Policyholder,2022-11-14,LOC0887,2022-11-05,Collision,LOC0099,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Pending,NO,NO
CLM000254,Online,Policyholder,2022-07-11,LOC0154,2023-10-01,Collision,LOC0427,Down lay when move. Daughter light collection cup sea. Its church it.,Pending,NO,NO
CLM000255,Online,Broker,2023-11-27,LOC0360,2022-01-13,Collision,LOC0158,Down lay when move. Daughter light collection cup sea. Its church it.,Pending,NO,NO
CLM000256,Email,Agent,2023-10-12,LOC0737,2021-03-20,Collision,LOC0537,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Pending,YES,NO
CLM000257,Email,Agent,2022-04-13,LOC0267,2021-08-28,Natural Disaster,LOC0941,Down lay when move. Daughter light collection cup sea. Its church it.,Pending,NO,NO
CLM000258,Online,Agent,2024-04-01,LOC0517,2021-09-15,Collision,LOC0271,Down lay when move. Daughter light collection cup sea. Its church it.,Open,NO,NO
CLM000259,Online,Policyholder,2022-11-05,LOC0459,2023-01-05,Theft,LOC0662,Down lay when move. Daughter light collection cup sea. Its church it.,Pending,NO,NO
CLM000260,Email,Agent,2022-12-08,LOC0358,2024-10-22,Collision,LOC0819,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Closed,YES,NO
CLM000261,In-Person,Policyholder,2023-06-23,LOC0882,2024-04-29,Natural Disaster,LOC0220,Down lay when move. Daughter light collection cup sea. Its church it.,Closed,YES,NO
CLM000262,Online,Broker,2022-03-24,LOC0201,2021-06-20,Natural Disaster,LOC0408,Down lay when move. Daughter light collection cup sea. Its church it.,Open,NO,NO
CLM000263,Phone,Broker,2023-10-02,LOC0906,2022-12-12,Collision,LOC0248,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Open,NO,NO
CLM000264,In-Person,Agent,2023-11-28,LOC0020,2023-03-21,Fire,LOC0955,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Open,YES,YES
CLM000265,Online,Policyholder,2024-12-09,LOC0718,2024-03-05,Natural Disaster,LOC0433,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Closed,YES,NO
CLM000266,Phone,Broker,2022-05-03,LOC0556,2022-09-09,Natural Disaster,LOC0188,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Pending,YES,NO
CLM000267,Online,Policyholder,2024-10-13,LOC0945,2021-04-17,Theft,LOC0036,Down lay when move. Daughter light collection cup sea. Its church it.,Closed,NO,NO
CLM000268,In-Person,Agent,2024-08-06,LOC0574,2024-07-13,Fire,LOC0553,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Pending,NO,YES
CLM000269,In-Person,Broker,2023-01-11,LOC0611,2022-12-28,Natural Disaster,LOC0836,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Pending,YES,NO
CLM000270,Phone,Broker,2023-01-20,LOC0455,2022-01-16,Collision,LOC0854,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Closed,NO,YES
CLM000271,In-Person,Agent,2024-11-29,LOC0766,2023-06-20,Natural Disaster,LOC0197,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Pending,NO,YES
CLM000272,Email,Broker,2022-11-14,LOC0189,2024-11-05,Collision,LOC0652,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Open,YES,YES
CLM000273,Email,Policyholder,2023-03-07,LOC0357,2024-09-12,Collision,LOC0991,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Closed,NO,YES
CLM000274,In-Person,Agent,2022-11-24,LOC0832,2022-09-13,Natural Disaster,LOC0201,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Open,NO,NO
CLM000275,Email,Policyholder,2024-12-23,LOC0207,2024-07-23,Theft,LOC0128,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Open,NO,NO
CLM000276,Phone,Policyholder,2022-05-13,LOC0092,2022-11-05,Collision,LOC0867,Down lay when move. Daughter light collection cup sea. Its church it.,Open,NO,YES
CLM000277,Email,Agent,2023-11-24,LOC0182,2021-07-04,Collision,LOC0399,Down lay when move. Daughter light collection cup sea. Its church it.,Open,YES,NO
CLM000278,In-Person,Agent,2023-12-13,LOC0280,2024-04-10,Theft,LOC0280,Down lay when move. Daughter light collection cup sea. Its church it.,Pending,NO,YES
CLM000279,In-Person,Broker,2023-01-17,LOC0327,2021-01-17,Natural Disaster,LOC0056,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Open,NO,YES
CLM000280,Email,Broker,2022-04-07,LOC0963,2021-05-28,Theft,LOC0724,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Closed,NO,YES
CLM000281,Online,Policyholder,2023-07-19,LOC0733,2024-10-28,Natural Disaster,LOC0620,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Open,NO,YES
CLM000282,In-Person,Policyholder,2023-12-11,LOC0981,2021-03-02,Fire,LOC0859,Down lay when move. Daughter light collection cup sea. Its church it.,Pending,YES,YES
CLM000283,Online,Policyholder,2023-01-28,LOC0936,2022-03-25,Collision,LOC0788,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Open,YES,YES
CLM000284,Phone,Policyholder,2024-09-25,LOC0582,2022-07-17,Natural Disaster,LOC0358,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Closed,YES,NO
CLM000285,Online,Broker,2024-10-16,LOC0171,2023-12-21,Theft,LOC0689,Down lay when move. Daughter light collection cup sea. Its church it.,Pending,NO,YES
CLM000286,In-Person,Policyholder,2023-12-07,LOC0465,2021-04-16,Theft,LOC0070,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Open,YES,YES
CLM000287,In-Person,Policyholder,2022-07-13,LOC0287,2022-12-09,Theft,LOC0165,Down lay when move. Daughter light collection cup sea. Its church it.,Closed,NO,NO
CLM000288,Email,Policyholder,2024-03-06,LOC0929,2023-06-27,Natural Disaster,LOC0714,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Pending,YES,YES
CLM000289,Email,Broker,2022-03-31,LOC0105,2022-07-12,Fire,LOC0272,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Closed,YES,YES
