ClaimNumber,ID,Vin,Make,Model,Year
CLM000445,VEH00390,OO9176977Ck0594728,Ford,Civic,2001
CLM000580,VEH00391,qp7901218Ye5003094,Ford,Camry,2002
CLM000147,VEH00392,AD7014023DP4895707,Honda,Civic,2013
CLM000986,VEH00393,wV3492291TW0319119,Ford,Civic,2022
CLM000248,VEH00394,Ac3357327Bn4356836,Toyota,Camry,2013
CLM000448,VEH00395,Sz2547696LX2312568,Toyota,Civic,2014
CLM000918,VEH00396,zO5513705zA7110815,Toyota,Malibu,2016
CLM000721,VEH00397,ip4094670Wa4033492,Honda,Focus,2000
CLM000555,VEH00398,ID8359965PS7296763,Honda,Civic,2007
CLM000634,VEH00399,Fn3688557yK0662960,Honda,Civic,2005
CLM000988,VEH00400,YD5055949HA2936283,Ford,Malibu,2005
CLM000531,VEH00401,pv5062368DV6122194,Chevrolet,Focus,2000
CLM000631,VEH00402,nA0356513CA0837333,Honda,Focus,2017
CLM000914,VEH00403,gi8337657Qu4158166,Honda,Camry,2007
CLM000297,VEH00404,qH1666043MJ8643442,Chevrolet,Focus,2005
CLM000065,VEH00405,OS5280775As6947990,Honda,Camry,2009
CLM000685,VEH00406,nE1852355DZ9356434,Ford,Malibu,2007
CLM000374,VEH00407,Xo6590206DY2069193,Honda,Camry,2015
CLM000360,VEH00408,rj9957542NA7785916,Ford,Focus,2013
CLM000232,VEH00409,Qn2628230NQ0552098,Ford,Focus,2013
CLM000480,VEH00410,Va1225816Qr4744811,Toyota,Malibu,2017
CLM000838,VEH00411,tu1659469jV9592712,Toyota,Camry,2013
CLM000912,VEH00412,TH1014650AY3740589,Ford,Malibu,2015
CLM000911,VEH00413,Zn0332622uD7614602,Toyota,Malibu,2009
CLM000019,VEH00414,kZ9779536qR3202371,Chevrolet,Camry,2005
CLM000644,VEH00415,TU7816129rW6791019,Chevrolet,Civic,2004
CLM000123,VEH00416,Ia9375633bX1630741,Chevrolet,Camry,2008
CLM000075,VEH00417,is0480584bp4103228,Toyota,Civic,2013
CLM000977,VEH00418,EX2318259TN1689539,Honda,Civic,2003
CLM000241,VEH00419,MF8839439Rj7844300,Toyota,Malibu,2013
CLM000182,VEH00420,eU3716852mj9345575,Toyota,Focus,2004
CLM000226,VEH00421,AT3019310kz8311915,Honda,Malibu,2010
CLM000255,VEH00422,pk3565415dp9065138,Ford,Malibu,2002
CLM000248,VEH00423,yV2944121ho7062605,Chevrolet,Camry,2003
CLM000877,VEH00424,in7153354KU9631124,Chevrolet,Malibu,2002
CLM000632,VEH00425,Uh3477272Zp9163355,Chevrolet,Camry,2015
CLM000183,VEH00426,vk1572764bh6578455,Ford,Focus,2006
CLM000092,VEH00427,oN8346661ef4241127,Ford,Civic,2017
CLM000522,VEH00428,hN4216244Hi1050354,Honda,Focus,2000
CLM000819,VEH00429,Wc4999915de0502426,Ford,Civic,2008
CLM000854,VEH00430,LE7977851if0310852,Honda,Civic,2004
CLM000241,VEH00431,nI6540110ym1029550,Chevrolet,Malibu,2012
CLM000185,VEH00432,fZ0047066Ci1247987,Honda,Civic,2008
CLM000914,VEH00433,Wv3879593Eq7292215,Ford,Focus,2011
CLM000074,VEH00434,lC8921723jN3971003,Ford,Civic,2005
CLM000761,VEH00435,FV0249411zI7557431,Chevrolet,Focus,2007
CLM000707,VEH00436,hx6160397ZE8203376,Chevrolet,Focus,2020
CLM000066,VEH00437,sU9403606sN5203879,Ford,Camry,2008
CLM000574,VEH00438,Mx7433917dX1957416,Chevrolet,Malibu,2017
CLM000284,VEH00439,vI5718005cX7043357,Chevrolet,Camry,2013
CLM000931,VEH00440,NL5778966Zy0201881,Honda,Focus,2014
CLM000423,VEH00441,Hl5963018hC9377341,Chevrolet,Civic,2002
CLM000253,VEH00442,KX1070530aZ4891610,Honda,Camry,2013
CLM000114,VEH00443,Nf2250864qD0206149,Toyota,Civic,2018
CLM000897,VEH00444,kf8973028cH8058016,Honda,Camry,2008
CLM000767,VEH00445,NK3989757co9571655,Ford,Camry,2015
CLM000576,VEH00446,cV3782965HD5436040,Ford,Malibu,2015
CLM000089,VEH00447,Kj8675441fA3843105,Toyota,Focus,2023
CLM000699,VEH00448,lq7328961kr7487752,Toyota,Malibu,2006
CLM000106,VEH00449,NS0777016QS9033249,Toyota,Camry,2010
CLM000772,VEH00450,mC1866963nb5680210,Ford,Civic,2012
CLM000844,VEH00451,pi7235907qC7407238,Ford,Malibu,2022
CLM000005,VEH00452,yO3039496kh1222379,Ford,Camry,2002
CLM000929,VEH00453,oN9693556An6314738,Ford,Camry,2012
CLM000867,VEH00454,ZB8802490FI2820075,Ford,Focus,2016
CLM000902,VEH00455,hN3608416nM0642023,Ford,Civic,2017
CLM000012,VEH00456,fX7141370Ty1109221,Honda,Camry,2009
CLM000889,VEH00457,qu7473829hg5386656,Chevrolet,Camry,2012
CLM000185,VEH00458,nC9870680Ay2393059,Ford,Malibu,2009
CLM000101,VEH00459,VS2007319vt6008262,Chevrolet,Camry,2014
CLM000415,VEH00460,Gg2199662tV9810822,Chevrolet,Malibu,2008
CLM000869,VEH00461,Ro8445712lo1629236,Toyota,Malibu,2019
CLM000018,VEH00462,mw9122491aH7699341,Toyota,Camry,2012
CLM000600,VEH00463,NF7850392Mu1061683,Chevrolet,Focus,2001
CLM000206,VEH00464,Lh7274880Zd0282197,Chevrolet,Focus,2001
CLM000579,VEH00465,xR0491109Dt9550285,Ford,Civic,2006
CLM000302,VEH00466,VS8407330YT9264299,Toyota,Malibu,2002
CLM000060,VEH00467,kl5975893FA1845285,Ford,Focus,2023
CLM000347,VEH00468,gO1705921Ah8186096,Ford,Civic,2003
CLM000566,VEH00469,bg0349288OU0641294,Chevrolet,Camry,2020
CLM000223,VEH00470,zg0056731He5866998,Toyota,Civic,2017
CLM000791,VEH00471,Wk5792434My6199262,Toyota,Camry,2015
CLM000835,VEH00472,tB6575480zx3288522,Honda,Civic,2017
CLM000311,VEH00473,Sw1421932bA4387581,Ford,Civic,2003
CLM000656,VEH00474,qE8569064OC9200043,Honda,Malibu,2016
CLM000086,VEH00475,jJ6940512qd2077142,Ford,Camry,2008
CLM000961,VEH00476,hO5021887jw9287689,Chevrolet,Malibu,2010
CLM000500,VEH00477,BS3778263QE8796388,Honda,Focus,2003
CLM000082,VEH00478,gX2052158la8392374,Toyota,Focus,2020
CLM000218,VEH00479,Vp6794771Zo2862957,Ford,Focus,2022
CLM000394,VEH00480,yd4403479wS8030926,Toyota,Camry,2007
CLM000877,VEH00481,dd3519409xE9321769,Honda,Focus,2019
CLM000096,VEH00482,oM4389254TH0200423,Toyota,Malibu,2006
CLM000167,VEH00483,qC5522386pM2267988,Honda,Focus,2012
CLM000183,VEH00484,XU2243687RP5202411,Honda,Malibu,2001
CLM000701,VEH00485,lm3556907Wc3879899,Toyota,Civic,2008
CLM000309,VEH00486,QZ3345094mX7811523,Chevrolet,Malibu,2022
CLM000795,VEH00487,LD6948646FD9186362,Chevrolet,Camry,2011
CLM000160,VEH00488,vT8465902JA6072706,Ford,Focus,2002
CLM000569,VEH00489,gC0281414Dr8772975,Chevrolet,Malibu,2006
CLM000283,VEH00490,nA7782524uz3542853,Chevrolet,Malibu,2008
CLM000649,VEH00491,Ba9949144hl5631704,Chevrolet,Malibu,2017
CLM000681,VEH00492,nT7566751wY9060260,Toyota,Camry,2017
CLM000501,VEH00493,gg5863678dK4065375,Chevrolet,Camry,2004
CLM000818,VEH00494,Ck6862973FT0770710,Honda,Focus,2002
CLM000141,VEH00495,BF3721540YA6280311,Toyota,Camry,2000
CLM000790,VEH00496,Aw7971480Lg1201620,Honda,Civic,2018
CLM000549,VEH00497,Fg8126815qC0305710,Honda,Malibu,2016
CLM000341,VEH00498,ea6885903Zj2789065,Honda,Malibu,2005
CLM000840,VEH00499,pj4978395Xt2256127,Chevrolet,Focus,2022
CLM000775,VEH00500,Cc4376882gC7753423,Toyota,Camry,2006
