ClaimNumber,PaymentType,CostType,CostCategory,GrossAmount,PaymentJustifiedInNotes
CLM000304,Check,Property Damage,Expense,27922.19,YES
CLM000914,Check,Property Damage,Expense,37404.4,YES
CLM000872,Check,Property Damage,Indemnity,43206.22,YES
CLM000893,Credit Card,Medical,Expense,47841.46,NO
CLM000387,Check,Vehicle Repair,Indemnity,33846.24,YES
CLM000385,Check,Vehicle Repair,Expense,32112.35,NO
CLM000189,Check,Medical,Indemnity,4562.41,YES
CLM000192,Direct Deposit,Medical,Indemnity,10685.54,YES
CLM000244,Check,Property Damage,Indemnity,23540.66,YES
CLM000679,Direct Deposit,Vehicle Repair,Indemnity,6041.21,YES
CLM000581,Direct Deposit,Medical,Indemnity,22008.98,NO
CLM000328,Direct Deposit,Property Damage,Indemnity,26780.57,YES
CLM000170,Credit Card,Medical,Expense,4150.54,NO
CLM000845,Credit Card,Medical,Indemnity,393.42,NO
CLM000869,Direct Deposit,Medical,Expense,19761.68,NO
CLM000998,Check,Vehicle Repair,Expense,32537.38,NO
CLM000844,Check,Property Damage,Expense,25034.03,YES
CLM000045,Credit Card,Vehicle Repair,Indemnity,4782.49,YES
CLM000347,Check,Property Damage,Indemnity,38416.72,NO
CLM000338,Credit Card,Medical,Expense,11194.15,YES
CLM000124,Credit Card,Property Damage,Indemnity,34217.68,NO
CLM000267,Credit Card,Vehicle Repair,Indemnity,10465.46,YES
CLM000733,Check,Property Damage,Indemnity,14817.5,YES
CLM000933,Credit Card,Vehicle Repair,Indemnity,41454.5,NO
CLM000205,Credit Card,Vehicle Repair,Expense,14531.88,NO
CLM000698,Credit Card,Vehicle Repair,Indemnity,45641.29,NO
CLM000284,Direct Deposit,Vehicle Repair,Indemnity,32027.87,YES
CLM000554,Check,Vehicle Repair,Indemnity,23232.88,NO
CLM000864,Check,Property Damage,Indemnity,38018.62,YES
CLM000099,Direct Deposit,Medical,Expense,3198.05,NO
CLM000955,Credit Card,Medical,Expense,23652.93,NO
CLM000236,Check,Medical,Indemnity,25619.12,YES
CLM000692,Check,Medical,Indemnity,36555.65,YES
CLM000719,Credit Card,Property Damage,Indemnity,16671.37,NO
CLM000877,Check,Medical,Expense,4230.37,NO
CLM000543,Check,Medical,Indemnity,2019.28,NO
CLM000854,Credit Card,Medical,Expense,26961.41,NO
CLM000553,Credit Card,Medical,Indemnity,35612.84,NO
CLM000637,Direct Deposit,Medical,Expense,43903.27,NO
CLM000682,Check,Property Damage,Indemnity,47706.35,YES
CLM000277,Check,Vehicle Repair,Expense,40452.31,YES
CLM000392,Credit Card,Property Damage,Expense,24562.66,YES
CLM000796,Credit Card,Medical,Indemnity,26152.76,NO
CLM000373,Direct Deposit,Medical,Expense,7675.0,YES
CLM000990,Check,Property Damage,Expense,38926.55,NO
CLM000657,Direct Deposit,Medical,Expense,20494.88,YES
CLM000413,Credit Card,Medical,Indemnity,29670.17,YES
CLM000754,Check,Property Damage,Expense,3682.98,YES
CLM000807,Credit Card,Property Damage,Indemnity,4350.91,NO
CLM000647,Credit Card,Property Damage,Expense,4553.18,NO
CLM000697,Check,Vehicle Repair,Indemnity,1203.72,YES
CLM000681,Credit Card,Medical,Indemnity,8158.57,NO
CLM000585,Check,Property Damage,Expense,42484.74,NO
CLM000429,Direct Deposit,Property Damage,Expense,8811.81,YES
CLM000430,Direct Deposit,Vehicle Repair,Expense,34763.64,NO
CLM000951,Check,Property Damage,Indemnity,1955.54,YES
CLM000891,Credit Card,Property Damage,Expense,31251.85,NO
CLM000702,Direct Deposit,Vehicle Repair,Indemnity,49459.05,YES
CLM000456,Check,Medical,Expense,21946.98,YES
CLM000960,Credit Card,Medical,Indemnity,39421.28,YES
CLM000740,Credit Card,Property Damage,Expense,35924.08,YES
CLM000781,Check,Medical,Expense,35251.92,YES
CLM000377,Direct Deposit,Property Damage,Indemnity,45085.19,NO
CLM000409,Direct Deposit,Vehicle Repair,Expense,26775.32,YES
CLM000239,Direct Deposit,Property Damage,Indemnity,37428.53,YES
CLM000769,Credit Card,Property Damage,Indemnity,16234.87,NO
CLM000613,Credit Card,Vehicle Repair,Indemnity,38699.84,NO
CLM000183,Direct Deposit,Vehicle Repair,Expense,21712.74,YES
CLM000166,Check,Vehicle Repair,Expense,39999.44,NO
CLM000861,Credit Card,Vehicle Repair,Expense,33234.28,NO
CLM000647,Credit Card,Vehicle Repair,Expense,6481.49,YES
CLM000416,Check,Medical,Indemnity,10528.59,NO
CLM000845,Direct Deposit,Vehicle Repair,Indemnity,26117.25,YES
CLM000670,Check,Vehicle Repair,Indemnity,46857.67,YES
CLM000145,Check,Property Damage,Indemnity,9218.42,YES
CLM000700,Check,Medical,Indemnity,31021.82,NO
CLM000126,Credit Card,Vehicle Repair,Indemnity,34571.32,YES
CLM000575,Credit Card,Medical,Expense,37692.33,NO
CLM000953,Credit Card,Property Damage,Expense,19093.9,NO
CLM000139,Check,Property Damage,Expense,38432.68,NO
CLM000983,Direct Deposit,Medical,Expense,25131.8,NO
CLM000320,Direct Deposit,Property Damage,Indemnity,39289.04,NO
CLM000515,Credit Card,Medical,Indemnity,8582.9,NO
CLM000729,Direct Deposit,Medical,Expense,9227.52,YES
CLM000723,Check,Medical,Expense,37962.62,YES
CLM000535,Check,Vehicle Repair,Indemnity,42221.6,NO
CLM000528,Credit Card,Property Damage,Expense,43448.67,YES
CLM000036,Check,Medical,Indemnity,23489.93,NO
CLM000911,Credit Card,Vehicle Repair,Expense,40245.27,YES
CLM000500,Credit Card,Vehicle Repair,Indemnity,31989.27,NO
CLM000275,Check,Vehicle Repair,Expense,26355.93,NO
CLM000646,Direct Deposit,Vehicle Repair,Expense,35539.04,NO
CLM000947,Credit Card,Medical,Indemnity,116.65,NO
CLM000933,Credit Card,Property Damage,Expense,47450.09,YES
CLM000002,Direct Deposit,Vehicle Repair,Expense,24539.59,NO
CLM000592,Direct Deposit,Medical,Indemnity,6137.21,NO
CLM000207,Check,Medical,Expense,26423.33,YES
CLM000464,Credit Card,Vehicle Repair,Expense,47976.88,YES
CLM000835,Credit Card,Medical,Indemnity,35297.36,NO
CLM000489,Check,Vehicle Repair,Indemnity,20028.14,NO
CLM000610,Direct Deposit,Vehicle Repair,Expense,16594.04,YES
CLM000490,Credit Card,Property Damage,Expense,32806.45,YES
CLM000427,Credit Card,Vehicle Repair,Indemnity,10186.11,NO
CLM000305,Credit Card,Property Damage,Indemnity,20529.62,YES
CLM000349,Check,Vehicle Repair,Indemnity,17680.15,NO
CLM000818,Direct Deposit,Property Damage,Expense,6760.26,NO
CLM000090,Credit Card,Property Damage,Expense,12129.19,YES
CLM000242,Credit Card,Vehicle Repair,Indemnity,39024.28,NO
CLM000196,Check,Medical,Expense,44494.19,NO
CLM000494,Credit Card,Vehicle Repair,Expense,42563.67,NO
CLM000301,Check,Vehicle Repair,Indemnity,24911.66,NO
CLM000422,Check,Property Damage,Expense,10504.11,NO
CLM000867,Direct Deposit,Vehicle Repair,Expense,30682.81,NO
CLM000244,Direct Deposit,Medical,Expense,23700.35,NO
CLM000441,Credit Card,Property Damage,Expense,21005.68,YES
CLM000238,Credit Card,Medical,Expense,35466.02,YES
CLM000430,Credit Card,Vehicle Repair,Indemnity,36919.15,YES
CLM000590,Direct Deposit,Medical,Expense,29410.62,YES
CLM000359,Credit Card,Property Damage,Expense,20532.4,YES
CLM000346,Credit Card,Vehicle Repair,Expense,49879.08,NO
CLM000247,Credit Card,Property Damage,Indemnity,9252.03,YES
CLM000332,Check,Medical,Expense,29806.11,NO
CLM000560,Credit Card,Medical,Expense,6176.21,NO
CLM000750,Check,Property Damage,Expense,2027.15,YES
CLM000862,Direct Deposit,Property Damage,Indemnity,22442.24,YES
CLM000481,Direct Deposit,Medical,Expense,48377.36,NO
CLM000779,Credit Card,Vehicle Repair,Expense,41040.3,NO
CLM000274,Direct Deposit,Medical,Indemnity,36225.99,NO
CLM000967,Credit Card,Vehicle Repair,Expense,39329.67,YES
CLM000251,Credit Card,Property Damage,Indemnity,31044.72,NO
CLM000667,Direct Deposit,Vehicle Repair,Expense,43344.43,YES
CLM000710,Check,Vehicle Repair,Expense,11200.24,NO
CLM000623,Credit Card,Medical,Expense,32758.18,YES
CLM000541,Direct Deposit,Vehicle Repair,Indemnity,27725.84,NO
CLM000454,Check,Vehicle Repair,Expense,11226.29,NO
CLM000440,Direct Deposit,Vehicle Repair,Expense,22062.71,NO
CLM000418,Credit Card,Vehicle Repair,Expense,15124.68,NO
CLM000779,Credit Card,Vehicle Repair,Indemnity,19650.16,NO
CLM000653,Check,Property Damage,Indemnity,35297.14,NO
CLM000680,Credit Card,Vehicle Repair,Indemnity,41976.32,NO
CLM000345,Credit Card,Vehicle Repair,Indemnity,27440.14,YES
CLM000116,Direct Deposit,Medical,Indemnity,26932.63,NO
CLM000442,Check,Medical,Expense,45250.43,YES
CLM000513,Credit Card,Vehicle Repair,Expense,876.8,NO
CLM000458,Check,Vehicle Repair,Indemnity,23605.68,NO
CLM000264,Direct Deposit,Property Damage,Indemnity,15503.33,YES
CLM000882,Check,Vehicle Repair,Indemnity,31543.7,NO
CLM000951,Check,Vehicle Repair,Expense,23187.6,YES
CLM000073,Check,Vehicle Repair,Indemnity,2697.14,YES
CLM000766,Credit Card,Property Damage,Expense,47589.66,NO
CLM000108,Credit Card,Medical,Expense,42381.54,YES
CLM000016,Direct Deposit,Vehicle Repair,Expense,14513.63,YES
CLM000345,Direct Deposit,Vehicle Repair,Expense,8288.04,NO
CLM000034,Direct Deposit,Vehicle Repair,Indemnity,1006.55,NO
CLM000791,Direct Deposit,Property Damage,Expense,48987.29,NO
CLM000719,Direct Deposit,Medical,Indemnity,12998.22,YES
CLM000448,Credit Card,Property Damage,Indemnity,10640.02,YES
CLM000359,Direct Deposit,Vehicle Repair,Expense,49873.37,NO
CLM000320,Check,Property Damage,Expense,221.91,NO
CLM000301,Check,Medical,Indemnity,25335.96,NO
CLM000487,Credit Card,Medical,Expense,17952.36,YES
CLM000503,Credit Card,Vehicle Repair,Indemnity,28657.02,NO
CLM000460,Credit Card,Property Damage,Expense,40710.96,YES
CLM000682,Credit Card,Property Damage,Expense,9939.14,NO
CLM000427,Direct Deposit,Medical,Indemnity,36204.34,NO
CLM000905,Credit Card,Medical,Expense,47491.94,YES
CLM000500,Check,Medical,Indemnity,39282.81,NO
CLM000610,Direct Deposit,Medical,Indemnity,46817.29,NO
CLM000374,Check,Property Damage,Expense,29917.43,YES
CLM000124,Check,Property Damage,Expense,49239.73,NO
CLM000591,Credit Card,Property Damage,Expense,41100.48,NO
CLM000378,Direct Deposit,Medical,Expense,49166.32,YES
CLM000834,Check,Property Damage,Indemnity,20131.23,NO
CLM000142,Check,Medical,Indemnity,41394.75,NO
CLM000010,Credit Card,Medical,Expense,13204.86,YES
CLM000714,Check,Medical,Expense,34817.02,NO
CLM000732,Credit Card,Vehicle Repair,Indemnity,32673.55,YES
CLM000876,Credit Card,Property Damage,Indemnity,47438.48,NO
CLM000136,Credit Card,Property Damage,Expense,21855.29,NO
CLM000136,Check,Vehicle Repair,Expense,9398.88,NO
CLM000734,Credit Card,Property Damage,Expense,40091.05,YES
CLM000777,Check,Property Damage,Indemnity,41206.24,NO
CLM000923,Direct Deposit,Property Damage,Indemnity,49027.56,YES
CLM000951,Direct Deposit,Medical,Expense,21376.26,NO
CLM000674,Check,Vehicle Repair,Expense,22229.04,NO
CLM000743,Direct Deposit,Medical,Expense,8727.74,YES
CLM000357,Check,Vehicle Repair,Expense,39790.23,YES
CLM000694,Direct Deposit,Vehicle Repair,Indemnity,4133.79,NO
CLM000871,Credit Card,Medical,Indemnity,5422.26,YES
CLM000899,Credit Card,Vehicle Repair,Expense,7193.56,NO
CLM000099,Direct Deposit,Property Damage,Indemnity,34717.02,NO
CLM000201,Direct Deposit,Medical,Expense,6739.13,YES
CLM000782,Credit Card,Medical,Indemnity,46629.88,YES
CLM000995,Check,Vehicle Repair,Indemnity,5151.8,NO
CLM000396,Credit Card,Property Damage,Indemnity,7344.52,NO
CLM000926,Credit Card,Vehicle Repair,Expense,30010.92,YES
CLM000132,Credit Card,Vehicle Repair,Indemnity,36185.04,NO
CLM000326,Check,Property Damage,Expense,28955.94,NO
CLM000201,Check,Property Damage,Indemnity,24907.54,NO
CLM000578,Direct Deposit,Vehicle Repair,Indemnity,4479.37,NO
CLM000425,Direct Deposit,Medical,Indemnity,35582.96,NO
CLM000300,Direct Deposit,Vehicle Repair,Expense,36467.12,NO
CLM000040,Check,Medical,Expense,40706.36,YES
CLM000798,Credit Card,Property Damage,Indemnity,2463.99,NO
CLM000275,Credit Card,Property Damage,Expense,18042.22,NO
CLM000118,Check,Property Damage,Expense,33177.47,NO
CLM000141,Credit Card,Property Damage,Indemnity,31972.52,NO
CLM000871,Check,Vehicle Repair,Expense,37125.5,YES
CLM000564,Direct Deposit,Property Damage,Expense,4058.14,YES
CLM000306,Credit Card,Medical,Indemnity,27343.7,YES
CLM000679,Credit Card,Vehicle Repair,Expense,26690.68,NO
CLM000904,Direct Deposit,Medical,Expense,14328.98,YES
CLM000525,Credit Card,Property Damage,Expense,8221.7,NO
CLM000986,Check,Vehicle Repair,Indemnity,18156.35,NO
CLM000634,Credit Card,Medical,Indemnity,1077.46,NO
CLM000349,Check,Property Damage,Expense,15684.33,YES
CLM000538,Direct Deposit,Medical,Indemnity,723.59,NO
CLM000992,Direct Deposit,Medical,Indemnity,47236.54,YES
CLM000412,Check,Vehicle Repair,Indemnity,31878.87,NO
CLM000822,Credit Card,Property Damage,Indemnity,38790.88,YES
CLM000071,Direct Deposit,Property Damage,Expense,43403.69,YES
CLM000272,Check,Vehicle Repair,Expense,41872.34,NO
CLM000310,Check,Property Damage,Expense,35393.47,YES
CLM000774,Check,Medical,Expense,40120.08,NO
CLM000997,Credit Card,Vehicle Repair,Expense,25824.01,NO
CLM000736,Direct Deposit,Property Damage,Indemnity,32062.4,NO
CLM000156,Credit Card,Medical,Expense,30389.38,NO
CLM000361,Direct Deposit,Vehicle Repair,Indemnity,39843.94,NO
CLM000268,Credit Card,Medical,Indemnity,14024.23,NO
CLM000145,Direct Deposit,Vehicle Repair,Expense,3317.63,YES
CLM000010,Credit Card,Vehicle Repair,Expense,16325.21,YES
CLM000278,Credit Card,Property Damage,Expense,4695.07,NO
CLM000121,Check,Medical,Indemnity,39724.81,YES
CLM000683,Credit Card,Medical,Expense,13378.26,NO
CLM000904,Check,Vehicle Repair,Expense,36543.84,NO
CLM000200,Direct Deposit,Vehicle Repair,Expense,609.57,NO
CLM000298,Direct Deposit,Property Damage,Indemnity,43499.4,NO
CLM000459,Direct Deposit,Vehicle Repair,Expense,23305.17,NO
CLM000260,Direct Deposit,Property Damage,Expense,37117.64,YES
CLM000454,Direct Deposit,Vehicle Repair,Indemnity,29778.15,NO
CLM000495,Direct Deposit,Medical,Indemnity,8967.21,YES
CLM000295,Direct Deposit,Vehicle Repair,Expense,22702.08,YES
CLM000562,Check,Medical,Expense,21221.1,YES
CLM000383,Credit Card,Property Damage,Indemnity,28684.02,YES
CLM000902,Direct Deposit,Medical,Expense,42556.57,YES
CLM000061,Check,Property Damage,Indemnity,29145.14,NO
CLM000679,Direct Deposit,Property Damage,Indemnity,30435.18,YES
CLM000937,Check,Medical,Indemnity,49729.82,NO
CLM000035,Credit Card,Medical,Indemnity,43294.5,YES
CLM000651,Direct Deposit,Vehicle Repair,Expense,42848.41,NO
CLM000205,Direct Deposit,Medical,Expense,6959.47,NO
CLM000927,Direct Deposit,Property Damage,Expense,18786.27,YES
CLM000701,Credit Card,Vehicle Repair,Indemnity,45689.59,YES
CLM000236,Credit Card,Vehicle Repair,Indemnity,43047.0,NO
CLM000016,Check,Vehicle Repair,Indemnity,16235.78,YES
CLM000870,Credit Card,Medical,Indemnity,19551.15,YES
CLM000602,Direct Deposit,Property Damage,Indemnity,31008.03,YES
CLM000764,Check,Vehicle Repair,Indemnity,26266.5,YES
CLM000964,Check,Property Damage,Expense,6586.44,NO
CLM000658,Check,Vehicle Repair,Indemnity,12982.87,NO
CLM000671,Credit Card,Medical,Indemnity,28186.71,YES
CLM000950,Check,Vehicle Repair,Indemnity,4577.56,NO
CLM000146,Direct Deposit,Vehicle Repair,Expense,32331.62,YES
CLM000406,Check,Vehicle Repair,Expense,49768.0,YES
CLM000333,Check,Medical,Expense,1727.73,NO
CLM000976,Check,Property Damage,Indemnity,14908.56,YES
CLM000040,Direct Deposit,Vehicle Repair,Indemnity,15109.15,YES
CLM000603,Credit Card,Property Damage,Indemnity,4647.16,YES
CLM000665,Direct Deposit,Vehicle Repair,Expense,47955.86,NO
CLM000963,Check,Property Damage,Indemnity,46126.79,NO
CLM000050,Check,Medical,Indemnity,29070.86,YES
CLM000992,Credit Card,Vehicle Repair,Indemnity,36194.55,YES
CLM000871,Check,Property Damage,Indemnity,41146.12,YES
CLM000475,Credit Card,Vehicle Repair,Indemnity,31191.97,YES
CLM000245,Credit Card,Vehicle Repair,Indemnity,27208.9,NO
CLM000759,Direct Deposit,Property Damage,Expense,22343.14,NO
CLM000360,Direct Deposit,Medical,Indemnity,21153.05,NO
CLM000728,Direct Deposit,Property Damage,Expense,43440.57,NO
CLM000156,Check,Vehicle Repair,Expense,35107.6,NO
CLM000277,Credit Card,Vehicle Repair,Indemnity,23643.89,YES
CLM000862,Check,Property Damage,Indemnity,34453.45,YES
CLM000233,Direct Deposit,Property Damage,Expense,18920.69,NO
CLM000929,Direct Deposit,Vehicle Repair,Indemnity,2663.71,NO
CLM000891,Direct Deposit,Property Damage,Indemnity,37154.9,NO
CLM000091,Direct Deposit,Medical,Expense,25040.73,NO
CLM000679,Credit Card,Medical,Indemnity,35458.5,NO
CLM000707,Direct Deposit,Property Damage,Indemnity,45622.24,YES
CLM000321,Check,Property Damage,Expense,19292.6,YES
CLM000067,Direct Deposit,Medical,Indemnity,36788.94,YES
CLM000897,Credit Card,Vehicle Repair,Indemnity,45078.57,NO
CLM000536,Credit Card,Medical,Indemnity,48965.21,YES
CLM000422,Check,Property Damage,Expense,26989.41,YES
CLM000598,Direct Deposit,Medical,Expense,7441.72,YES
CLM000342,Direct Deposit,Vehicle Repair,Indemnity,26176.51,NO
CLM000956,Check,Vehicle Repair,Expense,21391.12,NO
CLM000647,Direct Deposit,Medical,Expense,40061.93,YES
CLM000013,Check,Medical,Expense,10558.02,YES
CLM000045,Credit Card,Vehicle Repair,Expense,2677.29,NO
CLM000833,Check,Vehicle Repair,Indemnity,14323.26,NO
CLM000486,Check,Property Damage,Indemnity,33312.56,NO
CLM000473,Credit Card,Property Damage,Expense,37307.33,NO
CLM000486,Direct Deposit,Medical,Expense,17161.83,YES
CLM000857,Direct Deposit,Vehicle Repair,Expense,19070.65,NO
CLM000803,Credit Card,Property Damage,Expense,3345.0,YES
CLM000087,Credit Card,Medical,Expense,4914.06,NO
CLM000272,Credit Card,Property Damage,Indemnity,42045.11,NO
CLM000683,Check,Vehicle Repair,Expense,26828.28,YES
CLM000746,Check,Vehicle Repair,Expense,38523.32,NO
CLM000628,Direct Deposit,Medical,Expense,8536.54,YES
CLM000308,Check,Vehicle Repair,Expense,25496.88,NO
CLM000719,Direct Deposit,Property Damage,Indemnity,3867.74,YES
CLM000706,Credit Card,Medical,Indemnity,43074.46,YES
CLM000059,Check,Medical,Indemnity,4772.54,YES
CLM000519,Check,Property Damage,Expense,27724.65,NO
CLM000441,Credit Card,Medical,Expense,19452.85,NO
CLM000727,Check,Property Damage,Expense,47717.42,NO
CLM000847,Direct Deposit,Vehicle Repair,Indemnity,8673.91,NO
CLM000260,Direct Deposit,Medical,Indemnity,39309.61,NO
CLM000806,Check,Vehicle Repair,Indemnity,36279.55,YES
CLM000122,Direct Deposit,Vehicle Repair,Expense,32416.89,NO
CLM000511,Direct Deposit,Vehicle Repair,Indemnity,19289.76,YES
CLM000527,Check,Property Damage,Expense,49822.88,YES
CLM000003,Direct Deposit,Medical,Expense,35708.68,NO
CLM000290,Check,Medical,Indemnity,21939.85,YES
CLM000258,Credit Card,Property Damage,Indemnity,5529.96,YES
CLM000581,Check,Property Damage,Expense,12847.39,YES
CLM000115,Check,Vehicle Repair,Expense,21190.8,YES
CLM000058,Credit Card,Property Damage,Expense,2008.73,NO
CLM000015,Credit Card,Property Damage,Indemnity,14309.58,YES
CLM000215,Direct Deposit,Medical,Indemnity,9149.65,YES
CLM000854,Credit Card,Vehicle Repair,Expense,40713.92,YES
CLM000188,Check,Vehicle Repair,Expense,1848.3,YES
CLM000419,Direct Deposit,Property Damage,Indemnity,33413.69,NO
CLM000206,Check,Property Damage,Indemnity,27566.94,YES
CLM000784,Credit Card,Medical,Indemnity,12471.69,NO
CLM000762,Credit Card,Vehicle Repair,Expense,5893.2,YES
CLM000857,Credit Card,Property Damage,Expense,9354.96,YES
CLM000910,Credit Card,Vehicle Repair,Indemnity,49266.23,NO
CLM000678,Direct Deposit,Vehicle Repair,Indemnity,47960.31,YES
CLM000270,Direct Deposit,Vehicle Repair,Expense,14015.68,NO
CLM000637,Check,Vehicle Repair,Expense,3541.57,YES
CLM000355,Check,Property Damage,Expense,3406.81,YES
CLM000825,Check,Medical,Indemnity,46650.12,YES
CLM000125,Credit Card,Vehicle Repair,Expense,24407.49,YES
CLM000934,Direct Deposit,Vehicle Repair,Expense,30116.0,NO
CLM000217,Credit Card,Medical,Indemnity,32003.43,NO
CLM000802,Credit Card,Property Damage,Indemnity,9564.26,NO
CLM000302,Check,Medical,Expense,16744.53,YES
CLM000759,Direct Deposit,Vehicle Repair,Indemnity,46319.79,YES
CLM000554,Direct Deposit,Vehicle Repair,Expense,2285.3,NO
CLM000817,Credit Card,Medical,Indemnity,32926.85,YES
CLM000952,Credit Card,Medical,Indemnity,32829.56,YES
CLM000687,Credit Card,Vehicle Repair,Expense,29542.92,NO
CLM000942,Check,Vehicle Repair,Expense,9094.15,YES
CLM000412,Credit Card,Property Damage,Indemnity,43263.26,YES
CLM000462,Check,Property Damage,Expense,21580.04,YES
CLM000638,Direct Deposit,Medical,Indemnity,47569.77,NO
CLM000286,Direct Deposit,Medical,Expense,20764.18,YES
CLM000447,Credit Card,Vehicle Repair,Expense,46788.64,YES
CLM000795,Credit Card,Property Damage,Expense,45761.4,YES
CLM000642,Credit Card,Vehicle Repair,Indemnity,40639.54,YES
CLM000884,Direct Deposit,Medical,Indemnity,12493.96,YES
CLM000976,Check,Medical,Indemnity,38267.47,NO
CLM000678,Credit Card,Vehicle Repair,Indemnity,23378.15,YES
CLM000402,Direct Deposit,Medical,Expense,9178.67,YES
CLM000386,Credit Card,Property Damage,Indemnity,40146.32,NO
CLM000488,Check,Vehicle Repair,Expense,18057.5,YES
CLM000272,Check,Vehicle Repair,Expense,2648.23,YES
CLM000568,Check,Property Damage,Expense,15354.91,NO
CLM000089,Credit Card,Property Damage,Expense,47654.15,YES
CLM000790,Check,Vehicle Repair,Expense,5210.32,NO
CLM000307,Direct Deposit,Vehicle Repair,Indemnity,36651.91,NO
CLM000110,Check,Property Damage,Expense,15009.36,NO
CLM000541,Check,Vehicle Repair,Expense,41089.61,YES
CLM000525,Credit Card,Property Damage,Expense,2795.46,YES
CLM000659,Direct Deposit,Medical,Indemnity,11075.54,NO
CLM000359,Credit Card,Vehicle Repair,Expense,38696.57,NO
CLM000001,Check,Medical,Indemnity,25598.34,NO
CLM000926,Check,Medical,Expense,22748.16,NO
CLM000822,Check,Vehicle Repair,Indemnity,23287.72,YES
CLM000379,Direct Deposit,Vehicle Repair,Expense,36375.49,YES
CLM000652,Credit Card,Medical,Expense,26545.74,NO
CLM000950,Credit Card,Medical,Expense,32726.51,NO
CLM000873,Direct Deposit,Medical,Indemnity,9129.1,YES
CLM000030,Direct Deposit,Medical,Indemnity,47367.99,YES
CLM000660,Check,Property Damage,Indemnity,1286.68,YES
CLM000676,Check,Property Damage,Expense,30247.63,NO
CLM000770,Check,Property Damage,Indemnity,36335.05,NO
CLM000169,Check,Property Damage,Expense,554.06,NO
CLM000547,Credit Card,Medical,Expense,32881.15,NO
CLM000599,Direct Deposit,Vehicle Repair,Expense,36624.89,YES
CLM000780,Direct Deposit,Medical,Indemnity,2712.44,NO
CLM000290,Credit Card,Medical,Expense,38969.68,NO
CLM000006,Credit Card,Medical,Indemnity,10709.94,YES
CLM000796,Direct Deposit,Medical,Indemnity,14777.19,NO
CLM000244,Credit Card,Medical,Indemnity,8077.53,NO
CLM000542,Credit Card,Property Damage,Expense,7846.63,NO
CLM000430,Check,Medical,Indemnity,12067.98,YES
CLM000804,Check,Medical,Indemnity,36173.13,YES
CLM000466,Direct Deposit,Property Damage,Expense,24850.42,YES
CLM000215,Credit Card,Medical,Expense,11040.25,YES
CLM000026,Credit Card,Property Damage,Expense,38543.28,NO
CLM000865,Check,Medical,Expense,22719.09,NO
CLM000521,Direct Deposit,Vehicle Repair,Indemnity,45433.8,YES
CLM000055,Direct Deposit,Property Damage,Indemnity,5592.49,NO
CLM000971,Check,Vehicle Repair,Expense,38806.84,NO
CLM000647,Credit Card,Medical,Expense,1103.71,NO
CLM000210,Credit Card,Vehicle Repair,Indemnity,23066.67,NO
CLM000294,Direct Deposit,Vehicle Repair,Expense,30440.63,YES
CLM000304,Check,Medical,Indemnity,48854.78,YES
CLM000084,Credit Card,Vehicle Repair,Indemnity,46326.05,YES
CLM000975,Direct Deposit,Property Damage,Expense,46906.76,YES
CLM000210,Direct Deposit,Vehicle Repair,Expense,9109.39,YES
CLM000859,Check,Medical,Indemnity,44223.39,YES
CLM000836,Credit Card,Vehicle Repair,Indemnity,13910.94,NO
CLM000249,Check,Property Damage,Expense,23783.78,YES
CLM000557,Check,Medical,Indemnity,22997.86,YES
CLM000478,Check,Medical,Expense,17977.85,YES
CLM000861,Credit Card,Medical,Expense,30645.26,NO
CLM000518,Credit Card,Property Damage,Indemnity,49683.34,NO
CLM000783,Credit Card,Medical,Expense,5420.24,YES
CLM000782,Direct Deposit,Property Damage,Expense,36656.3,NO
CLM000992,Credit Card,Property Damage,Expense,22205.46,YES
CLM000858,Direct Deposit,Vehicle Repair,Indemnity,45595.12,NO
CLM000672,Direct Deposit,Medical,Indemnity,43823.83,YES
CLM000403,Credit Card,Medical,Expense,42327.72,NO
CLM000399,Credit Card,Property Damage,Expense,36110.42,NO
CLM000260,Credit Card,Medical,Indemnity,1959.69,YES
CLM000359,Direct Deposit,Property Damage,Expense,19224.22,NO
CLM000300,Check,Property Damage,Expense,38289.53,YES
CLM000173,Check,Medical,Indemnity,15414.77,NO
CLM000975,Direct Deposit,Property Damage,Indemnity,42236.16,YES
CLM000509,Direct Deposit,Vehicle Repair,Indemnity,38933.01,YES
CLM000584,Credit Card,Property Damage,Expense,21723.94,NO
CLM000678,Credit Card,Medical,Expense,33777.48,NO
CLM000076,Direct Deposit,Property Damage,Indemnity,45713.97,NO
CLM000774,Check,Medical,Expense,38215.21,YES
CLM000960,Direct Deposit,Vehicle Repair,Indemnity,37123.35,NO
CLM000766,Credit Card,Vehicle Repair,Expense,29816.76,NO
CLM000954,Credit Card,Vehicle Repair,Expense,17941.62,YES
CLM000086,Credit Card,Medical,Indemnity,39124.81,NO
CLM000096,Direct Deposit,Medical,Indemnity,46567.7,YES
CLM000324,Credit Card,Property Damage,Expense,36947.42,YES
CLM000521,Direct Deposit,Vehicle Repair,Expense,7012.34,NO
CLM000265,Credit Card,Vehicle Repair,Expense,31236.79,YES
CLM000809,Check,Medical,Indemnity,47793.75,YES
CLM000542,Credit Card,Vehicle Repair,Indemnity,3071.87,NO
CLM000209,Check,Medical,Indemnity,3619.21,NO
CLM000881,Credit Card,Vehicle Repair,Indemnity,30326.07,YES
CLM000908,Check,Property Damage,Indemnity,32602.79,NO
CLM000175,Check,Medical,Expense,35006.8,YES
